comment,code,line,file,language
"Register the blacklist with the handler.
     
      @param  \Whoops\Handler\PrettyPageHandler  $handler
      @return $this","protected function registerBlacklist($handler)
    {
        foreach (config('app.debug_blacklist', config('app.debug_hide', [])) as $key => $secrets) {
            foreach ($secrets as $secret) {
                $handler->blacklist($key, $secret);
            }
        }

        return $this;
    }",60,data/raw/repos/php/framework/src/Illuminate/Foundation/Exceptions/Whoops/WhoopsHandler.php,php
"/
  Ref types are not enough to determine to omit from deps. Must also take reactivity into account.","function ReactiveRefInEffect(props) {
  const ref1 = useRef('initial value');
  const ref2 = useRef('initial value');
  let ref;
  if (props.foo) {
    ref = ref1;
  } else {
    ref = ref2;
  }
  useEffect(() => print(ref), AUTODEPS);
}",7,data/raw/repos/js/react/compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/infer-effect-dependencies/reactive-ref.js,javascript
"Get the URL for the file at the given path.
     
      @param  string  $path
      @return string","protected function getLocalUrl($path)
    {
        // If an explicit base URL has been set on the disk configuration then we will use
        // it as the base URL instead of the default path. This allows the developer to
        // have full control over the base path for this filesystem's generated URLs.
        if (isset($this->config['url'])) {
            return $this->concatPathToUrl($this->config['url'], $path);
        }

        $path = '/storage/'.$path;

        // If the path contains ""storage/public"", it probably means the developer is using
        // the default disk to generate the path instead of the ""public"" disk like they
        // are really supposed to use. We will remove the public from this path here.
        if (str_contains($path, '/storage/public/')) {
            return Str::replaceFirst('/public/', '/', $path);
        }

        return $path;
    }",764,data/raw/repos/php/framework/src/Illuminate/Filesystem/FilesystemAdapter.php,php
"Disables Content-Security-Policy.
     
      All related headers will be removed.","public function disableCsp(): void
    {
        $this->cspDisabled = true;
    }",72,data/raw/repos/php/symfony/src/Symfony/Bundle/WebProfilerBundle/Csp/ContentSecurityPolicyHandler.php,php
"s used to update light uniforms per frame.
	  Potentially overwritten in concrete light nodes to update light
	  specific uniforms.
	 
	  @param {NodeFrame} frame - A reference to the current node frame.
	 
	update( /frame ) {","nst { light } = this;

		this.color.copy( light.color ).multiplyScalar( light.intensity );

	}

}

/**
 * Represents a `d",44982,data/raw/repos/js/three.js/build/three.webgpu.js,javascript
Outputs the current progress string.,"public function display(): void
    {
        if (OutputInterface::VERBOSITY_QUIET === $this->output->getVerbosity()) {
            return;
        }

        if (null === $this->format) {
            $this->setRealFormat($this->internalFormat ?: $this->determineBestFormat());
        }

        $this->overwrite($this->buildLine());
    }",454,data/raw/repos/php/symfony/src/Symfony/Component/Console/Helper/ProgressBar.php,php
"olor keyframe track.
	 
	  @param {string} name - The keyframe track's name.
	  @param {Array<number>} times - A list of keyframe times.
	  @param {Array<number>} values - A list of keyframe values.
	  @param {(InterpolateLinear|InterpolateDiscrete|InterpolateSmooth)} [interpolation] - The interpolation type.
	 
	constructor( name, times","values, interpolation ) {

		super( name, times, values, interpolation );

	}

}

/**
 * The value type",42791,data/raw/repos/js/three.js/build/three.core.js,javascript
"Returns `true` if the given point, when projected onto the plane of the
	  triangle, lies within the triangle.
	 
	  @param {Vector3} point - The point in 3D space to test.
	  @param {Vector3} a - The first corner of the triangle.
	  @param {Vector3} b - The second corner of the triangle.
	  @param {Vector3} c - The third corner of the triangle.
	  @return {boolean} Whether the given point, when projected onto the plane of the
	  triangle, lies within the triangle or not.","static containsPoint( point, a, b, c ) {

		// if the triangle is degenerate then we can't contain a point
		if ( this.getBarycoord( point, a, b, c, _v3 ) === null ) {

			return false;

		}

		return ( _v3.x >= 0 ) && ( _v3.y >= 0 ) && ( ( _v3.x + _v3.y ) <= 1 );

	}",137,data/raw/repos/js/three.js/src/math/Triangle.js,javascript
"Register a callback to run before a bootstrapper.
     
      @param  string  $bootstrapper
      @param  \Closure  $callback
      @return void","public function beforeBootstrapping($bootstrapper, Closure $callback)
    {
        $this['events']->listen('bootstrapping: '.$bootstrapper, $callback);
    }",367,data/raw/repos/php/framework/src/Illuminate/Foundation/Application.php,php
"Run the callbacks for the message.
     
      @param  \Illuminate\Mail\Message  $mailMessage
      @param  \Illuminate\Notifications\Messages\MailMessage  $message
      @return $this","protected function runCallbacks($mailMessage, $message)
    {
        foreach ($message->callbacks as $callback) {
            $callback($mailMessage->getSymfonyMessage());
        }

        return $this;
    }",298,data/raw/repos/php/framework/src/Illuminate/Notifications/Channels/MailChannel.php,php
